name,country,lat,lon,MTemp,humidity,cloudinnes,windspeed,date
Saskylakh,RU,71.92,114.08,285.94,63,100,2.4,1600062757
Ushuaia,AR,-54.8,-68.3,280.15,52,75,10.3,1600062758
Sorong,ID,-0.88,131.25,299.77,86,100,6.51,1600062759
Traiguén,CL,-38.25,-72.68,275.26,94,0,2.66,1600062760
Poum,NC,-20.23,164.02,296.21,79,11,4.68,1600062761
Thompson,CA,55.74,-97.86,276.15,93,40,2.0,1600062762
Burnie,AU,-41.07,145.92,287.04,51,7,5.81,1600062763
Mar del Plata,AR,-38.0,-57.56,279.26,86,0,3.1,1600062764
Praia da Vitória,PT,38.73,-27.07,294.26,94,75,5.27,1600062765
Ponta do Sol,PT,32.67,-17.1,294.15,77,20,1.5,1600062767
Faanui,PF,-16.48,-151.75,298.8,77,37,2.91,1600062767
Hermanus,ZA,-34.42,19.23,284.26,89,31,3.13,1600062768
Nikolskoye,RU,59.7,30.79,285.93,87,20,6.0,1600062769
Itoman,JP,26.12,127.67,302.15,79,75,1.5,1600062770
Dunedin,NZ,-45.87,170.5,289.82,58,96,5.7,1600062771
Yellowknife,CA,62.46,-114.35,274.26,64,20,2.1,1600062481
Hobart,AU,-42.88,147.33,286.48,47,75,11.3,1600062643
Sisimiut,GL,66.94,-53.67,273.71,86,0,5.19,1600062774
Santander,ES,43.46,-3.8,303.15,28,46,7.2,1600062656
Turukhansk,RU,65.82,87.98,287.06,83,100,8.44,1600062775
Airai,TL,-8.93,125.41,296.94,43,9,2.71,1600062778
Hilo,US,19.73,-155.09,297.15,73,90,4.6,1600062779
Avarua,CK,-21.21,-159.78,295.15,64,49,2.1,1600062781
Bluff,NZ,-46.6,168.33,284.26,77,49,6.26,1600062782
Busselton,AU,-33.65,115.33,297.04,33,80,0.66,1600062783
Pacific Grove,US,36.62,-121.92,287.59,93,76,1.67,1600062777
Arraial do Cabo,BR,-22.97,-42.03,295.6,83,0,13.71,1600062785
Ponnāni,IN,10.77,75.93,299.15,88,75,2.1,1600062786
Puerto Ayora,EC,-0.74,-90.35,292.59,91,95,2.24,1600062787
Dalby,AU,-27.18,151.27,299.15,26,0,4.1,1600062788
Chokurdakh,RU,70.63,147.92,287.26,46,71,3.56,1600062789
Sitka,US,57.05,-135.33,285.15,46,1,2.76,1600062790
Santiago del Estero,AR,-27.8,-64.26,290.22,40,73,5.58,1600062790
Saldanha,ZA,-33.01,17.94,284.15,87,46,1.5,1600062555
Colares,PT,38.8,-9.45,293.15,95,10,2.13,1600062792
Upernavik,GL,72.79,-56.15,271.66,89,75,2.96,1600062792
Cap-aux-Meules,CA,47.38,-61.86,289.99,88,90,11.61,1600062793
Tual,ID,-5.67,132.75,299.51,75,100,8.99,1600062794
Carnarvon,AU,-24.87,113.63,298.15,69,0,7.2,1600062795
East London,ZA,-33.02,27.91,286.15,71,16,3.1,1600062796
Saint-Michel-des-Saints,CA,46.68,-73.92,282.72,93,73,3.25,1600062796
Kapaa,US,22.08,-159.32,300.15,69,40,5.1,1600062797
Cairneyhill,GB,56.06,-3.54,288.15,87,90,4.1,1600062798
Ifanadiana,MG,-21.3,47.63,293.52,73,30,1.52,1600062799
Marsh Harbour,BS,26.54,-77.06,301.55,70,100,3.6,1600062800
Albany,US,42.6,-73.97,292.59,73,100,2.68,1600062789
Lakselv,NO,70.05,24.97,280.15,100,75,4.1,1600062801
Luorong,CN,24.41,109.61,303.42,67,74,1.99,1600062802
Oriximiná,BR,-1.77,-55.87,297.28,85,21,1.94,1600062803
Vila Velha,BR,-20.33,-40.29,295.15,88,75,2.6,1600062742
George Town,MY,5.41,100.34,302.15,74,20,1.0,1600062775
Mataura,NZ,-46.19,168.86,284.26,77,51,6.26,1600062804
Rikitea,PF,-23.12,-134.97,296.36,85,18,5.99,1600062805
Korem,ET,12.51,39.52,292.33,48,21,0.4,1600062806
Vila,PT,42.03,-8.16,291.48,83,100,1.1,1600062808
Vaini,TO,-21.2,-175.2,294.15,77,75,3.1,1600062808
Aklavik,CA,68.22,-135.01,276.15,77,75,1.99,1600062809
Ilulissat,GL,69.22,-51.1,269.15,49,0,5.7,1600062810
Talcahuano,CL,-36.72,-73.12,280.15,81,0,4.6,1600062812
Moba,CN,33.23,105.02,287.45,92,100,1.35,1600062813
Butaritari,KI,3.07,172.79,301.77,75,37,5.94,1600062813
Cape Town,ZA,-33.93,18.42,287.04,81,40,4.1,1600062663
Ribeira Grande,PT,38.52,-28.7,293.64,82,98,10.65,1600062815
Kahului,US,20.89,-156.47,300.15,61,1,5.7,1600062816
Aykhal,RU,66.0,111.5,286.15,47,21,2.0,1600062816
Haines Junction,CA,60.75,-137.51,274.8,83,16,0.74,1600062530
Atar,MR,20.52,-13.05,305.42,21,69,3.2,1600062818
Canyon Lake,US,29.88,-98.26,299.26,78,27,1.34,1600062819
Abnūb,EG,27.27,31.15,299.15,41,0,4.1,1600062820
Punta Arenas,CL,-53.15,-70.92,281.15,61,100,5.7,1600062751
Jacareacanga,BR,-6.22,-57.75,300.59,56,78,0.51,1600062822
Kaitangata,NZ,-46.28,169.85,284.26,72,67,7.15,1600062822
Port Elizabeth,ZA,-33.92,25.57,286.15,71,0,7.7,1600062823
Moose Factory,CA,51.26,-80.61,280.15,81,90,7.7,1600062824
Shelburne,CA,44.08,-80.2,287.15,71,1,3.6,1600062825
Saint-Philippe,RE,-21.36,55.77,295.15,77,90,11.8,1600062826
Chicama,PE,-7.84,-79.15,289.0,84,9,2.01,1600062827
Laguna Verde,HN,15.2,-88.17,296.48,98,100,1.29,1600062828
Lorengau,PG,-2.02,147.27,301.47,80,69,5.14,1600062828
Arrecife,ES,28.96,-13.55,293.15,88,0,3.1,1600062593
San Patricio,MX,19.22,-104.7,299.01,86,100,1.97,1600062830
Yulara,AU,-25.24,130.99,302.15,20,0,6.2,1600062830
Puro,PH,12.48,123.38,302.96,72,84,3.0,1600062831
Chui,UY,-33.7,-53.46,282.43,86,58,5.95,1600062832
Bambous Virieux,MU,-20.34,57.76,297.04,73,75,11.3,1600062833
Zhangjiakou,CN,40.81,114.88,295.79,28,12,2.31,1600062834
Jamestown,US,42.1,-79.24,289.82,87,90,4.1,1600062538
Nānākuli,US,21.39,-158.15,300.15,57,90,2.6,1600062835
Byron Bay,AU,-28.65,153.62,296.48,64,0,4.1,1600062385
Hambantota,LK,6.12,81.12,301.15,83,75,4.1,1600062837
Alugan,PH,12.22,125.48,300.15,87,100,5.21,1600062837
Hithadhoo,MV,-0.6,73.08,300.68,67,15,2.43,1600062838
Barrow,US,71.29,-156.79,278.15,86,90,6.2,1600062723
Aswān,EG,24.09,32.91,307.08,15,0,6.33,1600062839
Shache,CN,38.42,77.24,301.48,15,80,3.76,1600062840
Cabo Rojo,PR,18.09,-67.15,299.26,91,7,0.45,1600062841
Bethel,US,41.37,-73.41,292.59,96,71,2.29,1600062842
Taoudenni,ML,22.68,-3.98,309.39,13,42,2.92,1600062843
Adrar,MR,20.5,-10.07,307.24,15,78,4.26,1600062844
Bereda,ES,43.27,-7.54,290.93,95,100,2.68,1600062846
Sørland,NO,67.67,12.69,283.15,87,75,11.8,1600062846
Bredasdorp,ZA,-34.53,20.04,284.15,76,6,3.6,1600062847
Ngama,TD,11.78,17.17,297.03,86,97,3.61,1600062848
Havre-St-Pierre,CA,50.23,-63.6,284.15,93,90,4.1,1600062849
Buin,CL,-33.73,-70.75,285.37,60,0,2.1,1600062850
New Norfolk,AU,-42.78,147.06,286.48,67,86,3.58,1600062851
Ballina,AU,-28.87,153.57,298.15,64,0,4.1,1600062852
Mahébourg,MU,-20.41,57.7,295.15,73,75,11.3,1600062852
Salina,US,38.84,-97.61,289.26,82,1,1.5,1600062854
Almaznyy,RU,48.04,40.05,290.15,24,53,1.0,1600062855
Balgazyn,RU,51.0,95.2,285.31,46,96,3.07,1600062857
Katsuura,JP,35.13,140.3,300.93,78,75,4.1,1600062857
Saint-Augustin,CA,51.23,-58.65,286.77,87,100,12.31,1600062858
Polis,CY,35.04,32.43,299.15,74,20,2.6,1600062860
Vila Franca do Campo,PT,37.72,-25.43,295.15,78,20,7.2,1600062862
Coquimbo,CL,-29.95,-71.34,283.15,87,0,1.5,1600062862
Palmer,US,42.16,-72.33,292.59,93,75,1.5,1600062863
Nogliki,RU,51.83,143.17,292.54,65,3,3.22,1600062865
Benghazi,LY,32.12,20.07,299.56,55,0,5.14,1600062865
Altamira,BR,-3.2,-52.21,298.12,76,55,3.38,1600062866
Cetate,RO,44.1,23.05,293.15,68,8,2.13,1600062867
Cayenne,GF,4.93,-52.33,298.15,100,75,2.86,1600062868
Saint George,US,37.1,-113.58,302.15,9,1,2.6,1600062868
Sauda,NO,59.65,6.35,287.59,100,75,3.1,1600062870
Lebu,CL,-37.62,-73.65,280.77,80,0,8.56,1600062871
Los Llanos de Aridane,ES,28.66,-17.92,294.15,73,4,2.1,1600062871
Tiksi,RU,71.69,128.87,280.91,75,9,3.92,1600062872
Sena Madureira,BR,-9.07,-68.66,296.89,81,19,0.61,1600062873
Onega,RU,63.91,38.14,283.19,82,92,8.11,1600062875
Broken Hill,AU,-31.95,141.43,293.15,32,0,6.7,1600062875
Gondanglegi,ID,-7.75,112.01,307.84,33,0,4.85,1600062877
Escárcega,MX,18.61,-90.75,296.66,96,95,0.33,1600062840
Langsa,ID,4.47,97.97,306.3,51,100,1.89,1600062824
Gilbués,BR,-9.83,-45.34,292.06,65,40,2.25,1600062879
Saint Paul Harbor,US,57.79,-152.41,283.15,71,1,2.1,1600062880
Qaanaaq,GL,77.48,-69.36,266.93,79,35,4.9,1600062881
Dikson,RU,73.51,80.55,278.37,93,100,9.65,1600062881
Kailua,US,21.4,-157.74,300.15,61,20,4.6,1600062882
Dourbali,TD,11.81,15.86,297.66,85,95,3.26,1600062884
Agua Verde,MX,22.9,-106.05,302.59,88,40,1.92,1600062885
Hong Kong,HK,22.29,114.16,306.15,59,40,6.7,1600062606
Cherskiy,RU,68.75,161.3,283.78,59,50,5.75,1600062886
Tuktoyaktuk,CA,69.45,-133.04,277.15,86,90,12.3,1600062887
Waingapu,ID,-9.66,120.26,303.6,40,43,7.24,1600062888
Iqaluit,CA,63.75,-68.51,278.15,65,90,4.6,1600062889
Port Lincoln,AU,-34.73,135.87,287.99,70,27,4.42,1600062890
Westport,US,41.14,-73.36,296.15,78,90,5.1,1600062891
Atuona,PF,-9.8,-139.03,298.97,77,1,7.3,1600062892
Shatsk,RU,54.03,41.71,285.83,77,45,6.09,1600062893
Kutum,SD,14.2,24.67,296.04,65,100,5.62,1600062894
Aksu,CN,41.12,80.26,298.1,20,42,5.36,1600062894
Mossamedes,AO,-15.2,12.15,291.21,79,96,3.22,1600062895
Landerneau,FR,48.45,-4.25,289.15,63,8,4.1,1600062896
Houma,US,29.6,-90.72,299.82,88,40,3.75,1600062897
Matagami,CA,49.75,-77.63,279.15,93,90,5.7,1600062898
